uniqueID,drugName,condition,review,rating,date,usefulCount
136884,Isotretinoin,Acne,"""I used to have moderate cystic acne - down my back, on my arms and of course all over my face. It was my greatest insecurity and the cause for my low self esteem. I would simply refuse to go outside without wearing layers of makeup first and would constantly pop my pimples in order to flatten them out and attempt to conceal them better with makeup- stupid, I know .
I have Accutane to thank for changing this about me. It has been my messiah. I won&#039;t claim to have picture perfect skin but after 8 months on this drug my skin is nothing like it used to be. Nowadays I don&#039;t wake up and pat my face for new breakouts , first thing in the morning filled with dread. 

Of course it is important to take this drug responsibly and keep your Derm informed""",10,8-Aug-17,7
136936,Isotretinoin,Acne,"""Not worth it! There are other methods to clear up the infection. Try an antibiotic first. I have had to be on antibiotics for years now to keep the cystic acne manageable. I tried accutane and I regret taking it for the six days that I did. May have issues forever. Now I&#039;m back on a normal antibiotic with zero side effects. Also, I started using a home made scrub my sister in law made me. :) hope this helps.""",1,19-Jul-16,3
137171,Isotretinoin,Acne,"""I am suffering from acne for more than 7 years. I took different medications(capsules,creams,ointments) none of them have good impact. This year June I went to a dermatologist on my friends suggestion, he prescribed Isotretinoin 20mg 1 capsule per day for 10 days in a month. Its been 4 months now, except a few breakouts acne is under control.""",7,23-Sep-14,5
136898,Isotretinoin,Acne,"""had good skin until 20 years old, college had me stressed so I started getting hormonal acne on my cheeks esp my jaw. I was absolutely devastated, I would cry when I looked at my face in the mirror. I tried everything, just like everybody else here nothing worked. I never wrote a review before, but this medication gave me my life back. My skin starting clearing up immediately, like 2 weeks. 40mg 2 months then 60mg. After my 3rd month my face is 100% clear, don&#039;t get a single pimple even if I sleep in my makeup. Only side effect I have is the most chapped lips are ever but i&#039;ll take it. I wanna run up to every person I see in the street with acne on their face and recommend this medication. if acne is ruining your life please try this.""",10,16-Jun-17,11
137313,Isotretinoin,Acne,"""I had to rate Accutane highly, as it did exactly as advertised. I lived with chronic cystic acne for most of my teenage years, and went on Accutane at 20. Six months of treatment, and my acne was gone. I&#039;m 37 now, and have not experienced any long term side effects other than having my acne cured. I tried many medicines to treat the condition, but this one flat-out cured it. I would not have thought it possible.""",9,13-Sep-12,19
137084,Isotretinoin,Acne,"""My experience with accutane was amazing! I have always had acne and have tried everything over the counter but nothing worked. I did have some side effects including extremely dry lips, as well as pretty bad joint and muscle pain. My skin was also dry too including my scalp. But I loved it because I could go without washing my hair for a week! It was great. These side effects sucked while going through them, but absolutely worth it for the results! After a few months of finishing, my lips, scalp and skin were no longer as dry as they were while on the medication. My skin is definitely not as oily as it was before I started! I have no regrets about taking this Med and I would absolutely recommended accutane to others!""",10,21-Mar-16,21
137395,Isotretinoin,Acne,"""I have taken Accutane twice. It cleared up my face and body acne. I had severe cystic acne. I took Accutane for 5 months the first time and 3 months the second time. I have had clear skin for 2 years. Drug changed my life and helped with my self esteem tremendously. I had very bad acne. I do not recommend this drug if you have mild acne.""",10,22-Mar-11,2
136993,Isotretinoin,Acne,"""My 16 year old son has had acne- not to the point of scaring but enough to really affect his self esteem.
He is now under a specialist and has been taking Accutane for about 3-4 months.40mg per day.
After a month or so his skin was even worse and it was quite horrific but now he is nearly clear !
He has always been very moody and I have constantly been worried that he may have depression.
He has shown NO signs of being any worse on this medication !
Dry, dry, dry lips is the worst side effect and his self esteem is better.""",9,29-Aug-16,35
137552,Isotretinoin,Acne,"""I have just completed my first month of Amnesteem (I had moderate acne) and I am extremely happy with the results this far. However, I experienced stomach ache, nausea, constipation, chest pain, head aches, lower back pain, sore throat, dry skin, extremely chapped lips, and fatigue. They all hit me at the beginning of week three. The good news is they all subsided by the end of the week except the constipation.""",8,25-Dec-08,26
136946,Isotretinoin,Acne,"""I am 17 and I have had pretty moderate acne since I could remember, and pretty severe acne on my back for last four or five years. I asked my dermatologist to start me on accutane as I&#039;ve had two friends who sware by it. The first month I was on 40mg Claravis, my side effects were dry lips, skin, and scalp, nose bleeds out the wazoo, and weird rashes around my elbows and hands. But the results were incredible. All of my back acne was gone within the first week. The blackheads on my chin vanished. Although it made my face breakout slightly worse, I was warned that would happen. I am now on month two 60mg Myorisan and the side effects are slightly worse this month. also, it is a bit pricey. But still, very happy with this medication.""",10,22-Jun-16,15
